t,x,v,a
0.793,2.715,5,0
0.794,2.72,5,0
0.795,2.725,5,0
0.796,2.73,5,0
0.797,2.735,5,0
0.798,2.74,5,0
0.799,2.745,5,0
0.8,2.75,5,0
0.801,2.755,5,0
0.802,2.76,5,0
0.803,2.765,5,0
0.804,2.77,5,0
0.805,2.775,5,0
0.806,2.78,5,0
0.807,2.785,5,0
0.808,2.79,5,0
0.809,2.795,5,0
0.81,2.8,5,0
0.811,2.805,5,0
0.812,2.81,5,0
0.813,2.815,5,0
0.814,2.82,5,0
0.815,2.825,5,0
0.816,2.83,5,0
0.817,2.835,5,0
0.818,2.84,5,0
0.819,2.845,5,0
0.82,2.85,5,0
0.821,2.855,5,0
0.822,2.86,5,0
0.823,2.865,5,0
0.824,2.87,5,0
0.825,2.875,5,0
0.826,2.88,5,0
0.827,2.885,5,0
0.828,2.89,5,0
0.829,2.895,5,0
0.83,2.9,5,0
0.831,2.905,5,0
0.832,2.91,5,0
0.833,2.915,5,0
0.834,2.92,5,0
0.835,2.925,5,0
0.836,2.93,5,0
0.837,2.935,5,0
0.838,2.94,5,0
0.839,2.945,5,0
0.84,2.95,5,0
0.841,2.955,5,0
0.842,2.96,5,0
0.843,2.965,5,0
0.844,2.97,5,0
0.845,2.975,5,0
0.846,2.98,5,0
0.847,2.985,5,0
0.848,2.99,5,0
0.849,2.995,5,0
0.85,3,5,0
0.851,3.005,5,0
0.852,3.01,5,0
0.853,3.015,5,0
0.854,3.02,5,0
0.855,3.025,5,0
0.856,3.03,5,0
0.857,3.035,5,0
0.858,3.04,5,0
0.859,3.045,5,0
0.86,3.05,5,0
0.861,3.055,5,0
0.862,3.06,5,0
0.863,3.065,5,0
0.864,3.07,5,0
0.865,3.075,5,0
0.866,3.08,5,0
0.867,3.085,5,0
0.868,3.09,5,0
0.869,3.095,5,0
0.87,3.1,5,0
0.871,3.105,5,0
0.872,3.11,5,0
0.873,3.115,5,0
0.874,3.12,5,0
0.875,3.125,5,0
0.876,3.13,5,0
0.877,3.135,5,0
0.878,3.14,5,0
0.879,3.145,5,0
0.88,3.15,5,0
0.881,3.155,5,0
0.882,3.16,5,0
0.883,3.165,5,0
0.884,3.17,5,0
0.885,3.175,5,0
0.886,3.18,5,0
0.887,3.185,5,0
0.888,3.19,5,0
0.889,3.195,5,0
0.89,3.2,5,0
0.891,3.205,5,0
0.892,3.21,5,0
0.893,3.215,5,0
0.894,3.22,5,0
0.895,3.225,5,0
0.896,3.23,5,0
0.897,3.235,5,0
0.898,3.24,5,0
0.899,3.245,5,0
0.9,3.25,5,0
0.901,3.255,5,0
0.902,3.26,5,0
0.903,3.265,5,0
0.904,3.27,5,0
0.905,3.275,5,0
0.906,3.28,5,0
0.907,3.285,5,0
0.908,3.29,5,0
0.909,3.295,5,0
0.91,3.3,5,0
0.911,3.305,5,0
0.912,3.31,5,0
0.913,3.315,5,0
0.914,3.32,5,0
0.915,3.325,5,0
0.916,3.33,5,0
0.917,3.335,5,0
0.918,3.34,5,0
0.919,3.345,5,0
0.92,3.35,5,0
0.921,3.355,5,0
0.922,3.36,5,0
0.923,3.365,5,0
0.924,3.37,5,0
0.925,3.375,5,0
0.926,3.38,5,0
0.927,3.385,5,0
0.928,3.39,5,0
0.929,3.395,5,0
0.93,3.4,5,0
0.931,3.405,5,0
0.932,3.41,5,0
0.933,3.415,5,0
0.934,3.42,5,0
0.935,3.425,5,0
0.936,3.43,5,0
0.937,3.435,5,0
0.938,3.44,5,0
0.939,3.445,5,0
0.94,3.45,5,0
0.941,3.455,5,0
0.942,3.46,5,0
0.943,3.465,5,0
0.944,3.47,5,0
0.945,3.475,5,0
0.946,3.48,5,0
0.947,3.485,5,0
0.948,3.49,5,0
0.949,3.495,5,0
0.95,3.5,5,0
0.951,3.505,5,0
0.952,3.51,5,0
0.953,3.515,5,0
0.954,3.52,5,0
0.955,3.525,5,0
0.956,3.53,5,0
0.957,3.535,5,0
0.958,3.54,5,0
0.959,3.545,5,0
0.96,3.55,5,0
0.961,3.555,5,0
0.962,3.56,5,0
0.963,3.565,5,0
0.964,3.57,5,0
0.965,3.575,5,0
0.966,3.58,5,0
0.967,3.585,5,0
0.968,3.59,5,0
0.969,3.595,5,0
0.97,3.6,5,0
0.971,3.605,5,0
0.972,3.61,5,0
0.973,3.615,5,0
0.974,3.62,5,0
0.975,3.625,5,0
0.976,3.63,5,0
0.977,3.635,5,0
0.978,3.64,5,0
0.979,3.645,5,0
0.98,3.65,5,0
0.981,3.655,5,0
0.982,3.66,5,0
0.983,3.665,5,0
0.984,3.67,5,0
0.985,3.675,5,0
0.986,3.68,5,0
0.987,3.685,5,0
0.988,3.69,5,0
0.989,3.695,5,0
0.99,3.7,5,0
0.991,3.705,5,0
0.992,3.71,5,0
0.993,3.715,5,0
0.994,3.72,5,0
0.995,3.725,5,0
0.996,3.73,5,0
0.997,3.735,5,0
0.998,3.74,5,0
0.999,3.745,5,0
1,3.75,5,0
1.001,3.755,5,0
1.002,3.76,5,0
1.003,3.765,5,0
1.004,3.77,5,0
1.005,3.775,5,0
1.006,3.78,5,0
1.007,3.785,5,0
1.008,3.79,5,0
1.009,3.795,5,0
1.01,3.8,5,0
1.011,3.805,5,0
1.012,3.81,5,0
1.013,3.815,5,0
1.014,3.82,5,0
1.015,3.825,5,0
1.016,3.83,5,0
1.017,3.835,5,0
1.018,3.84,5,0
1.019,3.845,5,0
1.02,3.85,5,0
1.021,3.855,5,0
1.022,3.86,5,0
1.023,3.865,5,0
1.024,3.87,5,0
1.025,3.875,5,0
1.026,3.88,5,0
1.027,3.885,5,0
1.028,3.89,5,0
1.029,3.895,5,0
1.03,3.9,5,0
1.031,3.905,5,0
1.032,3.91,5,0
1.033,3.915,5,0
1.034,3.92,5,0
1.035,3.925,5,0
1.036,3.93,5,0
1.037,3.935,5,0
1.038,3.94,5,0
1.039,3.945,5,0
1.04,3.95,5,0
1.041,3.955,5,0
